prompt_type,batch_kind,num_decode,decode_stage,prefill_chunk,kv_cache_tokens,batch_tokens,time_s
p512d20,decode,1,5,0,517,1,0.009864548827837012
p512d20,decode,1,10,0,522,1,0.009864548827837012
p512d20,decode,1,20,0,532,1,0.009864548827837012
p512d20,decode,8,5,0,4136,8,0.011767472172575545
p512d20,decode,8,10,0,4176,8,0.011767472172575545
p512d20,decode,8,20,0,4256,8,0.011767472172575545
p512d20,decode,32,5,0,16544,32,0.015764986879210827
p512d20,decode,32,10,0,16704,32,0.015764986879210827
p512d20,decode,32,20,0,17024,32,0.015764986879210827
p512d20,decode,64,5,0,33088,64,0.021149473767643288
p512d20,decode,64,10,0,33408,64,0.021149473767643288
p512d20,decode,64,20,0,34048,64,0.021149473767643288
p512d20,mixed,0,10,512,0,512,0.037065005303970534
p512d20,mixed,8,10,512,4176,520,0.04269024575937436
